箱番,商品No,商品名,ヤフオク相場,ヤフオクURL,eBay相場,eBayURL,メルカリ相場,メルカリURL,最高値サイト,最高価格,損益分岐点,理想仕入れ価格
1,1,Canon FTb / Canon Lens FD 50mm F1.8 S.C.,4741,https://auctions.yahoo.co.jp/pastbidsearch/closedsearch?va=Canon%20FTb%20%20%20Canon%20Lens%20FD%2050mm%20F1.8%20S.C.,11170.85,https://www.ebay.com/sch/i.html?_nkw=Canon%20FTb%20/%20Canon%20Lens%20FD%2050mm%20F1.8%20S.C.&LH_Sold=1&LH_Complete=1&LH_ItemCondition=3000,7176.625,https://jp.mercari.com/search?keyword=Canon%20FTb%20/%20Canon%20Lens%20FD%2050mm%20F1.8%20S.C.&status=sold_out,eBay相場,11170.85,8976,8078
1,2,Nikon Nikomat FTN / Micro-Nikkor-P･C Auto 55mm F3.5,12695,https://auctions.yahoo.co.jp/pastbidsearch/closedsearch?va=Nikon%20Nikomat%20FTN%20%20%20Micro-Nikkor-P%EF%BD%A5C%20Auto%2055mm%20F3.5,9337.1,https://www.ebay.com/sch/i.html?_nkw=Nikon%20Nikomat%20FTN%20/%20Micro-Nikkor-P%EF%BD%A5C%20Auto%2055mm%20F3.5&LH_Sold=1&LH_Complete=1&LH_ItemCondition=3000,6366.666666666667,https://jp.mercari.com/search?keyword=Nikon%20Nikomat%20FTN%20/%20Micro-Nikkor-P%EF%BD%A5C%20Auto%2055mm%20F3.5&status=sold_out,ヤフオク相場,12695.0,10201,9181
1,3,Canon EOS-1 N / Canon Power Drive Booster E1,14749,https://auctions.yahoo.co.jp/pastbidsearch/closedsearch?va=Canon%20EOS-1%20N%20%20%20Canon%20Power%20Drive%20Booster%20E1,33926.25,https://www.ebay.com/sch/i.html?_nkw=Canon%20EOS-1%20N%20/%20Canon%20Power%20Drive%20Booster%20E1&LH_Sold=1&LH_Complete=1&LH_ItemCondition=3000,10231.125,https://jp.mercari.com/search?keyword=Canon%20EOS-1%20N%20/%20Canon%20Power%20Drive%20Booster%20E1&status=sold_out,eBay相場,33926.25,27262,24535
1,4,Nikon Nikomat EL ブラック / New Nikkor 50mm F1.4,14727,https://auctions.yahoo.co.jp/pastbidsearch/closedsearch?va=Nikon%20Nikomat%20EL%20%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF%20%20%20New%20Nikkor%2050mm%20F1.4,16754.55,https://www.ebay.com/sch/i.html?_nkw=Nikon%20Nikomat%20EL%20%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF%20/%20New%20Nikkor%2050mm%20F1.4&LH_Sold=1&LH_Complete=1&LH_ItemCondition=3000,8866.5,https://jp.mercari.com/search?keyword=Nikon%20Nikomat%20EL%20%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF%20/%20New%20Nikkor%2050mm%20F1.4&status=sold_out,eBay相場,16754.55,13463,12117
1,5,Canon FTb QL / Canon Lens FD 50mm F1.4 S.S.C,4790,https://auctions.yahoo.co.jp/pastbidsearch/closedsearch?va=Canon%20FTb%20QL%20%20%20Canon%20Lens%20FD%2050mm%20F1.4%20S.S.C,17217.7,https://www.ebay.com/sch/i.html?_nkw=Canon%20FTb%20QL%20/%20Canon%20Lens%20FD%2050mm%20F1.4%20S.S.C&LH_Sold=1&LH_Complete=1&LH_ItemCondition=3000,7068.875,https://jp.mercari.com/search?keyword=Canon%20FTb%20QL%20/%20Canon%20Lens%20FD%2050mm%20F1.4%20S.S.C&status=sold_out,eBay相場,17217.7,13835,12452
